yearID,teamID,avg_age,lgID,franchID,G,R,W,L,runs_per_game,win_pct
2002,PHI,27.736530775379695,NL,PHI,161,710,80,81,4.409937888198757,0.4968944099378882
2002,PIT,28.077913392409297,NL,PIT,161,641,72,89,3.981366459627329,0.4472049689440994
2002,SDN,29.69558128159139,NL,SDP,162,662,66,96,4.08641975308642,0.4074074074074074
2002,SEA,31.958867267837366,AL,SEA,162,814,93,69,5.0246913580246915,0.5740740740740741
2002,SFN,32.81027287319422,NL,SFG,162,783,95,66,4.833333333333333,0.5900621118012422
2002,SLN,29.408242738925846,NL,STL,162,787,97,65,4.8580246913580245,0.5987654320987654
2002,TBA,27.593110172245694,AL,TBD,161,673,55,106,4.180124223602484,0.3416149068322981
2002,TEX,29.707670273711013,AL,TEX,162,843,72,90,5.203703703703703,0.4444444444444444
2002,TOR,27.558345404796395,AL,TOR,162,813,78,84,5.018518518518518,0.48148148148148145
2003,ANA,29.654144010545394,AL,ANA,162,736,77,85,4.54320987654321,0.47530864197530864
2003,ARI,31.24378831881252,NL,ARI,162,717,84,78,4.425925925925926,0.5185185185185185
2003,ATL,30.667036274354505,NL,ATL,162,907,101,61,5.598765432098766,0.6234567901234568
2003,BAL,29.98287560581583,AL,BAL,163,743,71,91,4.558282208588957,0.4382716049382716
2003,BOS,30.27267138026437,AL,BOS,162,961,95,67,5.932098765432099,0.5864197530864198
2003,CHA,29.655036855036855,AL,CHW,162,791,86,76,4.882716049382716,0.5308641975308642
2003,CHN,31.908465695103978,NL,CHC,162,724,88,74,4.469135802469136,0.5432098765432098
2003,CIN,27.616861979166668,NL,CIN,162,694,69,93,4.283950617283951,0.42592592592592593
2003,CLE,27.664712587526463,AL,CLE,162,699,68,94,4.314814814814815,0.41975308641975306
2003,COL,30.231732776617953,NL,COL,162,853,74,88,5.265432098765432,0.4567901234567901
2003,DET,27.91240632805995,AL,DET,162,591,43,119,3.6481481481481484,0.2654320987654321
2003,FLO,28.07881369818122,NL,FLA,162,751,91,71,4.635802469135802,0.5617283950617284
2003,HOU,31.602492410928264,NL,HOU,162,805,87,75,4.969135802469136,0.5370370370370371
2003,KCA,29.568814766839377,AL,KCR,162,836,83,79,5.160493827160494,0.5123456790123457
2003,LAN,30.26219614417435,NL,LAD,162,574,85,77,3.54320987654321,0.5246913580246914
2003,MIL,30.22300999033194,NL,MIL,162,714,68,94,4.407407407407407,0.41975308641975306
2003,MIN,27.62766634829672,AL,MIN,162,801,90,72,4.944444444444445,0.5555555555555556
2003,MON,28.27068166776969,NL,WSN,162,711,83,79,4.388888888888889,0.5123456790123457
2003,NYA,30.7423887587822,AL,NYY,163,877,101,61,5.380368098159509,0.6234567901234568
2003,NYN,29.77095631641086,NL,NYM,161,642,66,95,3.987577639751553,0.40993788819875776
2003,OAK,28.624979724249798,AL,OAK,162,768,96,66,4.7407407407407405,0.5925925925925926
2003,PHI,28.769365357086052,NL,PHI,162,791,86,76,4.882716049382716,0.5308641975308642
2003,PIT,30.077305533279873,NL,PIT,162,753,75,87,4.648148148148148,0.46296296296296297
